technic,basis,file1,file2,global time,cpu time,result
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_5.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_5.qasm.opt.qasm,10.414100170135498,0.039661,True
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_7.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_7.qasm.opt.qasm,600.0389158725739,0.0048089999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_7.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_7.qasm.opt.qasm,600.0122611522675,0.006155,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_7.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_7.qasm.opt.qasm,599.9980139732361,0.101444,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_9.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_9.qasm.opt.qasm,600.0173907279968,0.0063349999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_9.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_9.qasm.opt.qasm,600.0091619491577,0.0097319999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/qwalk-v-chain_nativegates_ibm_qiskit_opt0_9.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/qwalk-v-chain_nativegates_ibm_qiskit_opt0_9.qasm.opt.qasm,600.1391270160675,0.176814,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0063600540161,0.0037779999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0068428516388,0.006414,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0376348495483,0.1899579999999999,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,599.9637408256531,0.00851,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,600.0072438716888,0.0297299999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,600.0144579410553,1.13112,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,599.9680860042572,0.03003,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,600.004472732544,0.0469699999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/realamprandom_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/realamprandom_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,600.0025768280029,9.182906,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_12.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_12.qasm.opt.qasm,600.004203081131,0.0039379999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_12.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_12.qasm.opt.qasm,600.0729761123657,0.004278,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_12.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_12.qasm.opt.qasm,600.0095970630646,0.0950059999999999,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_2.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_2.qasm.opt.qasm,0.0111489295959472,0.0027949999999999,True
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_2.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_2.qasm.opt.qasm,0.0515048503875732,0.001626,True
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_2.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_2.qasm.opt.qasm,0.0218989849090576,0.005199,True
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_6.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_6.qasm.opt.qasm,1.5371248722076416,0.002323,True
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_6.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_6.qasm.opt.qasm,600.0039279460907,0.002099,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/routing_nativegates_ibm_qiskit_opt0_6.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/routing_nativegates_ibm_qiskit_opt0_6.qasm.opt.qasm,4.7144999504089355,0.0275839999999999,True
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0058510303497,0.0042789999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0088667869568,0.0057169999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0108017921448,0.165676,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,600.007119178772,0.006229,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,600.3319289684296,0.012479,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,613.5632622241974,0.851883,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,599.9679772853851,0.0175159999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,599.9876048564911,0.029713,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/su2random_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/su2random_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,600.0064871311188,5.768205999999999,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,599.9854679107666,0.0056129999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0046892166138,0.007437,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0748038291931,0.2130109999999999,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_4.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_4.qasm.opt.qasm,0.1061959266662597,0.002998,True
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_4.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_4.qasm.opt.qasm,599.9917590618134,0.0028979999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_4.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_4.qasm.opt.qasm,0.7530679702758789,0.019931,True
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_9.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_9.qasm.opt.qasm,599.9979619979858,0.0039489999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_9.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_9.qasm.opt.qasm,600.0014998912811,0.0047409999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/tsp_nativegates_ibm_qiskit_opt0_9.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/tsp_nativegates_ibm_qiskit_opt0_9.qasm.opt.qasm,600.0959331989288,0.077492,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0049030780792,0.005153,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0597858428955,0.006413,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_16.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_16.qasm.opt.qasm,600.0420899391174,0.1860319999999999,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,600.0170469284058,0.0099659999999999,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,600.0003409385681,0.0302339999999999,TIMEOUT
2n,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_32.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_32.qasm.opt.qasm,600.0342741012573,1.132031,TIMEOUT
id,comp,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,600.019788980484,0.029164,TIMEOUT
id,paul,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/origin/twolocalrandom_nativegates_ibm_qiskit_opt0_64.qasm,/Users/dekel/Desktop/Formal_Work/project/Quokka-Sharp/experiment/benchmark/algorithm/opt/twolocalrandom_nativegates_ibm_qiskit_opt0_64.qasm.opt.qasm,599.9378180503845,0.0464709999999999,TIMEOUT
